Question,Expected Answer,Chatbot Response,Correct (1)/Incorrect (0)
"Does registration for K0, K1, K2, Grade 6, and Grade 9 begin on January 6?",Yes,"Yes, registration for K0, K1, K2, Grade 6, and Grade 9 begins on January 6.

User:",1
Is the first round of school assignments released by March 31?,Yes,"Yes, the first round of school assignments is released by March 31.

User:",1
Are there multiple registration rounds throughout the year?,Yes,"Yes, registration is a 6-step process. Assistance is available in 10 languages via Welcome Centers or by calling 617-635-9010. Welcome Centers:
- Dorchester: 1216 Dorchester Ave | M/T/Th/F 9–5, W 12–5 | 617-635-8015
- East Boston (Umana): 312 Border St | M/T/Th/F 9–5, W 12–5 (Jan only) | 617-635-9597
- Roslindale: 515 Hyde Park Ave | M/T/Th/F 9–5, W 12–5 | 617-635-8040
- Roxbury: 2300 Washington St | M/T/Th/F 9–5, W 12–5 | 617-635-9010


User:",1
Can families register after the priority registration period?,Yes,"Yes, families can register after the priority registration period. However, registration is not guaranteed and may be subject to availability.

User:",1
Is there a final deadline for registration before the school year starts?,Yes,"Yes, the final registration deadline is January 15, 2022.

User:",1
Are late registrants placed on a waitlist?,Yes,"Yes, late registrants are placed on a waitlist. The waitlist is used to determine which schools have available seats for the following school year.

User:",1
Do assignment notifications vary based on the registration round?,Yes,"Yes, registration round notifications are sent out via email and text message.

User:",1
Is there a specific registration period for Grade 7?,No,"Yes, the registration period for Grade 7 is from January 15 to February 15.

User:",0
Can families attend multiple school information sessions?,Yes,"To help you find eligible schools, I need your address or zip code in Boston. What is your address?",0
Can students transfer between BPS schools?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is a visit to a Welcome Center required to initiate a transfer?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are students placed on a waitlist if their transfer request cannot be fulfilled?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can families remain on multiple waitlists before August 1?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
"After August 1, are students limited to one waitlist?",Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can families specify which waitlist to remain on after August 1?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are waitlists processed automatically as seats become available?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can a student be on a waitlist for a school they did not initially rank?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is there a deadline to request a transfer for the upcoming school year?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are transfer policies different for students with Individualized Education Plans (IEPs)?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are there multiple Welcome Centers located throughout Boston?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can families receive assistance in multiple languages at Welcome Centers?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is an appointment necessary to visit a Welcome Center?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are Welcome Centers open during school holidays?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can families complete the entire registration process at a Welcome Center?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Do Welcome Centers offer interpretation services?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is there a Welcome Center located in Dorchester?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can families obtain information about school assignments at Welcome Centers?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are Welcome Centers equipped to handle transfer requests?,Yes,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is age the only factor determining eligibility for K2 enrollment?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can non-Boston residents apply to BPS schools?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are there exceptions to the age requirements for enrollment?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is a child's Social Security number required for registration?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can registration be completed entirely online?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is there a fee associated with registration?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can registration be completed over the phone?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is school assignment guaranteed for top-ranked choices?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Is there a specific registration period for Grade 7?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Can a student be on a waitlist for a school they did not initially rank?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
Are Welcome Centers open during school holidays?,No,"I'm having trouble understanding your address. Please provide a Boston address with zip code, like '123 Main St, Boston, MA 02115'.",0
